"Serial","Name","Third party identifier","Communication status","Timestamp","State","Source","Lat","Lon","Accuracy","Address","Geozones","Altitude (m)"
"3HJUEU","AT Veh. SNT4 3HJUEU","","ONLINE","2026-02-17T08:21:00+0000","STOP","GPS","52.37624","-2.06351","25","Wildmoor Mill","Bromsgrove HQ","120"
"3P2L39","DS Veh. SNT4 3P2L39","","ONLINE","2026-02-16T23:30:00+0000","STOP","GPS","52.37623","-2.06377","23","Wildmoor Mill","Bromsgrove HQ","140"
"3PAYPW","ND Veh. SNT4 3PAYPW","","ONLINE","2026-02-17T07:56:00+0000","START","GPS","52.4873","-2.12508","23","David Lloyd Clubs, Orchard Street, Dudley Fields, Gill's Fold, Brierley Hill, West Midlands, England, DY5 1PR, United Kingdom","","120"
"4CCK1D","ACQSYS 4CCK1D","","ONLINE","2026-02-17T07:49:00+0000","STOP","WIFI","52.40235707","-1.26476136","38","Cosford Lane, Cosford CP, Newbold on Avon, Rugby, Warwickshire, England, CV21 1TN, United Kingdom","",""
"4GQND1","ACQSYS 4GQND1","","OFFLINE","2026-01-29T14:36:00+0000","STOP","GPS","51.51217","-2.15772","9","Moto Leigh Delamere Eastbound, M4, Fosse Gate, Grittleton, Stanton St Quintin, Wiltshire, England, SN14 7LD, United Kingdom","",""
"4H99XR","ACQSYS 4H99XR","","ONLINE","2026-02-16T13:34:00+0000","STOP","WIFI","53.33762","-2.855507","15","Speke, Liverpool, Liverpool City Region, England, L24 1YD, United Kingdom","",""
"4TK11H","4TK11H","","OFFLINE","2024-12-04T20:18:00+0000","START","GPS","51.63289","-0.26596","40","M1, London, NW7 3HB, United Kingdom","London Gateway Services",""
"4V27D2","ACQSYS (SC) 4V27D2","","ONLINE","2026-02-16T20:30:00+0000","STOP","GPS","52.71885","-2.45966","24","I 2 R Packaging, Hortonwood 8, Hortonwood, Wrockwardine Wood and Trench, Telford and Wrekin, England, TF1 7XT, United Kingdom","","50"
"4X4E73","ACQSYS 4X4E73","","ONLINE","2026-02-16T13:35:00+0000","STOP","GPS","52.37602","-2.06303","17","Wildmoor Mill","Bromsgrove HQ","120"
"4YLT3K","ACQSYS 4YLT3K","","ONLINE","2026-02-17T08:10:00+0000","START","WIFI","53.955912","-0.97467367","15","Derwent Valley Industrial Estate, Dunnington, York, York and North Yorkshire, England, YO19 5PD, United Kingdom","",""
"4ZJEMN","ACQSYS 4ZJEMN","","ONLINE","2026-02-17T04:47:00+0000","STOP","GPS","53.36538","-2.27161","20","4, Outwood Road, Ringway, Wythenshawe, Manchester, Greater Manchester, England, M90 4WP, United Kingdom","","90"
"6DGH2J","ACQSYS 6DGH2J","","ONLINE","2026-02-17T08:13:00+0000","STOP","WIFI","52.9922435","-1.1569315","15","Oakington Close, Bestwood Park Estate, Bulwell, Nottingham, East Midlands, England, NG5 5GY, United Kingdom","",""
"7G2QT3","Harvey's Pick Up","SNT3.5 7G2QT3","OFFLINE","2025-11-12T06:04:00+0000","STOP","GPS","51.47931","0.26046","40","Stonehouse Lane, West Thurrock, West Thurrock, RM19 1NR, United Kingdom","",""
"92RA12","92RA12","","ONLINE","2026-02-14T12:59:00+0000","STOP","GPS","52.37634","-2.06401","40","Wildmoor Mill","Bromsgrove HQ",""
"9UNF1J","WHS 9UNF1J","","ONLINE","2026-02-16T08:21:00+0000","STOP","WIFI","56.07842986","-3.41292245","15","Halbeath Road, Halbeath, Dunfermline, Fife, Scotland, KY11 8JH, United Kingdom","",""
"A9D3QN","ACQSYS A9D3QN","","ONLINE","2026-02-17T05:35:00+0000","STOP","GPS","52.37622","-2.06341","8","Wildmoor Mill","Bromsgrove HQ","150"
"A9D4QE","ACQSYS A9D4QE","","ONLINE","2026-02-16T09:52:00+0000","STOP","GPS","52.37642","-2.06319","15","Wildmoor Mill","Bromsgrove HQ","100"
"A9YXFC","ACQSYS A9YXFC","","ONLINE","2026-02-17T07:48:00+0000","STOP","GPS","52.37638","-2.06326","23","Wildmoor Mill","Bromsgrove HQ","130"
"AACPQD","ACQSYS AACPQD","","ONLINE","2026-02-16T15:15:00+0000","STOP","GPS","52.37626","-2.06331","19","Wildmoor Mill","Bromsgrove HQ","140"
"AAM9M7","ACQSYS AAM9M7","","ONLINE","2026-02-16T12:43:00+0000","STOP","GPS","52.37627","-2.06321","11","Wildmoor Mill","Bromsgrove HQ","150"
"AE12M2","ACQSYS AE12M2","","ONLINE","2026-02-17T07:50:00+0000","START","WIFI","53.45444349","-2.36952332","23","Bowers Avenue, Davyhulme, Urmston, Trafford, Greater Manchester, England, M41 5TG, United Kingdom","",""
"AFKR1C","ACQSYS AFKR1C","","ONLINE","2026-02-16T10:23:00+0000","STOP","GPS","52.37635","-2.06319","17","Wildmoor Mill","Bromsgrove HQ","130"
"CNMLEN","ACQSYS CNMLEN","","ONLINE","2026-02-16T12:52:00+0000","STOP","GPS","52.37433","-2.06375","17","Mill Lane, Fairfield, Bromsgrove, Worcestershire, England, B61 0BX, United Kingdom","","510"
"D1P4KJ","WHS D1P4KJ","","OFFLINE","2025-08-06T06:46:00+0000","START","WIFI","55.94866233","-3.36193667","15","EH129DN","Alpha LSG, EH129DN, WFS Cargo Village, EH129DN",""
"DRCMF7","DRCMF7","","OFFLINE","2025-08-04T10:51:00+0000","START","WIFI","53.46068576","-2.22645545","18","M139WL","Manchester Royal Infermary RRU, M139WL",""
"EKG2WW","WHS EKG2WW","","OFFLINE","2025-08-19T15:15:00+0000","STOP","WIFI","51.14247925","0.91779733","15","Sandy Lane, Wye with Hinxhill, Sevington, TN24 0LZ, United Kingdom","William Harvey Hospital",""
"F9FPY3","SCRAP EXAMPLE","","OFFLINE","2024-01-21T14:30:00+0000","STOP","GPS","51.45828","0.35308","40","Tilbury, RM18 7HL, United Kingdom","",""
"FXVGWG","TAG FXVGWG","","ONLINE","2026-02-17T08:21:00+0000","STOP","GPS","52.37624","-2.06351","","Wildmoor Mill","Bromsgrove HQ",""
"FY1VDT","TAG FY1VDT","","ONLINE","2026-02-17T07:49:00+0000","STOP","GPS","52.37635","-2.06302","","Wildmoor Mill","Bromsgrove HQ",""
"FYEQMP","CD TEST T1","","ONLINE","2024-09-18T10:02:00+0000","","GPS","52.35994","-2.0634","23","Poplar Close, Catshill and North Marlbrook CP, Catshill, B61 0JL, United Kingdom","",""
"FYMJDV","TAG FYMJDV","","ONLINE","2026-02-17T05:30:00+0000","STOP","GPS","52.37586379","-2.06290749","","Wildmoor Mill","Bromsgrove HQ",""
"FZCTR6","TAG FZCTR6","","ONLINE","2026-02-17T07:49:00+0000","STOP","GPS","52.37635","-2.06302","","Wildmoor Mill","Bromsgrove HQ",""
"FZMFEK","TAG FZMFEK","","ONLINE","2026-02-17T08:21:00+0000","STOP","GPS","52.37624","-2.06351","","Wildmoor Mill","Bromsgrove HQ",""
"G194NM","TAG G194NM","","ONLINE","2026-02-17T08:21:00+0000","STOP","GPS","52.37624","-2.06351","","Wildmoor Mill","Bromsgrove HQ",""
"G1FTD3","SCRAP EXAMPLE 2","","OFFLINE","2024-03-14T13:27:00+0000","START","WIFI","53.79189867","-2.64295796","15","Rough Hey Road, Grimsargh, PR2 5AR, United Kingdom","",""
"G1TJJW","TAG G1TJJW","","ONLINE","2026-02-17T08:21:00+0000","STOP","GPS","52.37624","-2.06351","","Wildmoor Mill","Bromsgrove HQ",""
"G1XWQJ","TAG G1XWQJ","","ONLINE","2026-02-17T07:49:00+0000","STOP","GPS","52.37635","-2.06302","","Wildmoor Mill","Bromsgrove HQ",""
"G2CZGP","DS TEST T1","","ONLINE","2025-12-23T13:40:00+0000","STOP","GPS","52.4804","-2.11155","0","The Embankment (Bus Stop), Brockmoor, Brierley Hill, DY5 1SN, United Kingdom","Merry Hill Shopping Centre",""
